Deal Description,Title,Description,Original Price,Sales Price,Rating,Deal URL,Normal Link,Image URL,Category,Date Found,Promo Start date,Promo End date,Finder,How Found,Deal Status,Website Status,Email Status,Socials Status,Social Affiliate Link (Short),Notes
$150 OFF Big Agnes Big House 4-Person 3-Season Tent (was $500 now $350),,,,,4,https://dicks-sporting-goods.ryvx.net/19Dv6g,https://www.dickssportinggoods.com/p/big-agnes-big-house-4-4-person-3-season-tent-24tumubghs4xxxxxxcat/24tumubghs4xxxxxxcat?categoryId=10590353&color=Rooibos%2FShale,,Manual,1/27/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,https://dicks-sporting-goods.ryvx.net/OeKbMz,
58% OFF Ultra-Light Camp Pad Regular (was $120 now $50),,,,,5,https://dicks-sporting-goods.ryvx.net/N9QM1N,https://www.dickssportinggoods.com/p/ampex-reland-ultra-light-camp-pad-regular-23rdwurlndltrlghtcsl/23rdwurlndltrlghtcsl?categoryId=10590353&color=Grey,,Manual,1/27/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
60% OFF Gerber Knives Ripstop II Drop Point Folding Knife (was $42 now $17),Gerber Knives Ripstop II Drop Point Folding Knife,60% OFF Gerber Knives Ripstop II Drop Point Folding Knife (was $42 now $17),42,17,5,https://dicks-sporting-goods.ryvx.net/Wy6MxO,https://www.dickssportinggoods.com/p/gerber-knives-ripstop-ii-drop-point-folding-knife-16grburpstpxxxxxxcutx/16grburpstpxxxxxxcutx?categoryId=10590353,https://dks.scene7.com/is/image/GolfGalaxy/16GRBURPSTPXXXXXXCUTX?qlt=70&wid=385&fmt=pjpeg&op_sharpen=1,outdoor-gear,1/27/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,https://dicks-sporting-goods.ryvx.net/vPjVJO,
57% OFF Quest Adult Fishing Angler Nylon Life Vest (was $60 now $26),,,,,3,https://dicks-sporting-goods.ryvx.net/Wy67Oe,https://www.dickssportinggoods.com/p/quest-adult-fishing-angler-nylon-life-vest-21queudltnglrpfdxpas/21queudltnglrpfdxpas?categoryId=10590353&color=Olive,,Manual,1/27/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
67% OFF Ugly Stik GX2 Custom Spinning Combo (was $70 now $23),,,,,5,,https://www.dickssportinggoods.com/p/ugly-stik-gx2-custom-spinning-combo-20sksugx2cstmcb25com/20sksugx2cstmcb25com,,Manual,1/27/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
62% OFF Quest 55 L Dry Bag (was $47 now $18),,,,,4,,https://www.dickssportinggoods.com/p/quest-55-l-dry-bag-23queu55lrnfrcddrpas/23queu55lrnfrcddrpas?enteredSearchTerm=Quest%2055%20L%20Dry%20Bag,,Manual,1/27/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
59% OFF Marathon Guardian Inshore Spinning Rod (was $60 now $25),,,,,4,,https://www.dickssportinggoods.com/p/marathon-guardian-inshore-spinning-rod-18manumrthngrdnnsroda/18manumrthngrdnnsroda,,Manual,1/27/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
49% OFF Redington Classic Trout Fly Rod (was $350 now $180),Redington Classic Trout Fly Rod,49% OFF Redington Classic Trout Fly Rod (was $350 now $180),350,180,4,https://dicks-sporting-goods.ryvx.net/Vxb7Oj,https://www.dickssportinggoods.com/p/redington-classic-trout-fly-rod-15rgtu4904ctt4wt9rod/15rgtu4904ctt4wt9rod,https://dks.scene7.com/is/image/GolfGalaxy/15RGTU4904CTT4WT9ROD?qlt=70&wid=385&fmt=pjpeg&op_sharpen=1,fishing-gear,1/27/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,https://www.dickssportinggoods.com/p/redington-classic-trout-fly-rod-15rgtu4904ctt4wt9rod/15rgtu4904ctt4wt9rod,
37% OFF Malone Auto Racks Pilot HM4 Hitch Mount Platform 4 Bike Carrier (was $900 now $567),Malone Auto Racks Pilot HM4 Hitch Mount Platform 4 Bike Carrier,37% OFF Malone Auto Racks Pilot HM4 Hitch Mount Platform 4 Bike Carrier (was $900 now $567),900,567,3,https://dicks-sporting-goods.ryvx.net/55Moj3,https://www.dickssportinggoods.com/p/malone-pilot-hm4-hitch-mount-platform-4-bike-carrier-2-22mauaplthm4xxxxxhtc/22mauaplthm4xxxxxhtc?color=Black,https://dks.scene7.com/is/image/GolfGalaxy/22MAUAPLTHM4XXXXXHTC_Black?qlt=70&wid=500&fmt=webp&op_sharpen=1,outdoor-gear,1/27/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,https://dicks-sporting-goods.ryvx.net/YRnNMm,
37% OFF Dometic 40 AH Portable Lithium Battery (was $850 now $539),,,,,5,,https://www.dickssportinggoods.com/p/dometic-40-ah-portable-lithium-battery-19zrsu40hprtbllthodr/19zrsu40hprtbllthodr?enteredSearchTerm=Dometic%2040%20AH%20Portable%20Lithium%20Battery,,Manual,1/27/2025,,,Jet gatewood,Manual,Dead,Ignore,Ignore,Ignore,,
75% OFF Access Fund BD Trucker Hat (was $40 now $10),Access Fund BD Trucker Hat,75% OFF Access Fund BD Trucker Hat (was $40 now $10),40,10,4,https://www.avantlink.com/click.php?tt=el&merchant_id=bd711266-995f-47d1-aae8-6ef1317d1770&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.blackdiamondequipment.com%2Fen_US%2Fproduct%2Faccess-fund-bd-trucker-hat%2F%3Fcolorid%3D17941&ctc=honeyhole,https://www.blackdiamondequipment.com/en_US/product/access-fund-bd-trucker-hat/?colorid=17941,https://cdn11.bigcommerce.com/s-hgn1l9sh63/images/stencil/1000w/attribute_rule_images/23399_source_1713295214.jpg,outdoor-gear,1/28/2025,,,Jet gatewood,Manual,Active,Live,Sent,Posted,https://alnk.to/6bWmBtR,
60% OFF Black Dimond Men's Coefficient LT Hybrid Vest (was $130 now $52),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=bd711266-995f-47d1-aae8-6ef1317d1770&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.blackdiamondequipment.com%2Fen_US%2Foutlet%2Fcoefficient-lt-hybrid-vest-mens%2F%3Fcolorid%3D11992&ctc=honeyhole,https://www.blackdiamondequipment.com/en_US/outlet/coefficient-lt-hybrid-vest-mens/?colorid=11992,,Manual,1/28/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
60% OFF BD Women's Rise Tights (was $90 now $36),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=bd711266-995f-47d1-aae8-6ef1317d1770&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.blackdiamondequipment.com%2Fen_US%2Foutlet%2Fw-rise-tights%2F%3Fcolorid%3D3305&ctc=honeyhole,https://www.blackdiamondequipment.com/en_US/outlet/w-rise-tights/?colorid=3305,,Manual,1/28/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
60% OFF Women's Project Heavy Flannel—Past Season clearance! (was $110 now $44),Women's Project Heavy Flannel,60% OFF Women's Project Heavy Flannel—Past Season clearance! (was $110 now $44),110,44,3,https://www.avantlink.com/click.php?tt=el&merchant_id=bd711266-995f-47d1-aae8-6ef1317d1770&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.blackdiamondequipment.com%2Fen_US%2Foutlet%2Fwomens-project-heavy-flannel-past-season%2F%3Fcolorid%3D36422&ctc=honeyhole,https://www.blackdiamondequipment.com/en_US/outlet/womens-project-heavy-flannel-past-season/?colorid=36422,https://cdn11.bigcommerce.com/s-hgn1l9sh63/images/stencil/1000w/products/3185/70373/744067_6019_W_PROJECT_HEAVY_FLANNEL_Red_Rock_01___17919.1731535662.386.513.jpg?c=1,outdoor-gear,1/28/2025,,,Jet gatewood,Manual,Active,Live,Sent,Posted,https://alnk.to/gKRPsqX,
38% OFF Helinox Seat Warmer for High-Back  Camp Chairs (was $80 now $60),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=d7174e20-4bca-49c0-ba1a-c9386e4844a0&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fhelinox.com%2Fproducts%2Fseat-warmer-high-back%3F_pos%3D1%26_sid%3D2829b1dd5%26_ss%3Dr%3Fvariant%3D37756335653038%26variant%3D37756335653038,https://helinox.com/products/seat-warmer-high-back?_pos=1&_sid=2829b1dd5&_ss=r%3Fvariant%3D37756335653038&variant=37756335653038,,Manual,1/28/2025,,,Jet gatewood,Manual,Active,Removed,Ignore,Posted,,looks like theres some Affiliate links on this one - out of season and older
50% OFF Wind Breaker The Hideaway Weather-Resistant Windbreaker (was $80 now $40),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=16991c47-0971-4075-b596-ef14b62a1172&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Funchartedsupplyco.com%2Fproducts%2Fthe-hideaway&ctc=honeyhole,https://unchartedsupplyco.com/products/the-hideaway,,Manual,1/28/2025,,,Jet gatewood,Manual,Active,Removed,Sent,Maybe Later,https://alnk.to/c09pbhc,going out of season and old
40% OFF Survival Kit—Designed to go with youre 72-hour emergency kit! (was $300 now $179),Survival Kit,40% OFF Survival Kit—Designed to go with youre 72-hour emergency kit! (was $300 now $179),300,179,4,https://www.avantlink.com/click.php?tt=el&merchant_id=16991c47-0971-4075-b596-ef14b62a1172&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Funchartedsupplyco.com%2Fproducts%2Ffull-insert-seventy2&ctc=honeyhole,https://unchartedsupplyco.com/products/full-insert-seventy2,https://unchartedsupplyco.com/cdn/shop/files/Artboard7-482978copy.png?crop=center&format=webp&height=900&v=1686155132&width=900,camping-gear,1/28/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,,
"43% OFF Lodge 8-Inch Cast Iron Skillet—Perfect size for solo camping, I just bought one! (was $26 now $15)",Lodge 8-Inch Cast Iron Skillet,"43% OFF Lodge 8-Inch Cast Iron Skillet—Perfect size for solo camping, I just bought one! (was $26 now $15)",26,15,4,https://www.amazon.com/Lodge-Skillet-Pre-Seasoned-Skillet-Stovetop/dp/B00008GKDG?th=1&linkCode=ll1&tag=honeyhole-page-20&linkId=7f6d30ce0c1cd5d8eb363803f83580d9&language=en_US&ref_=as_li_ss_tl,https://www.amazon.com/Lodge-Skillet-Pre-Seasoned-Skillet-Stovetop/dp/B00008GKDG/ref=sr_1_1?th=1,https://m.media-amazon.com/images/I/51dWAL5xXBL.__AC_SY300_SX300_QL70_FMwebp_.jpg,camping-gear,1/29/2025,,,Chase Fly,Manual,Active,Live,Sent,Ignore,,
25% Helinox Toasty—Special blanket that goes under and over you in a camp chair! (was $150 now $112),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=d7174e20-4bca-49c0-ba1a-c9386e4844a0&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fhelinox.com%2Fproducts%2Ftoasty%3Fvariant%3D37667494101166&ctc=honeyhole,https://helinox.com/products/toasty?variant=37667494101166,,Affiliate Email,1/29/2025,,,Jet gatewood,Affiliate Email,Active,Removed,Ignore,Posted,https://alnk.to/1C8F6M5,AFF - out of season and old 
25% Helinox Seat Warmer—For low back camp chairs! (was $60 now $45),Helinox Seat Warmer,25% Helinox Seat Warmer—For low back camp chairs! (was $60 now $45),60,45,3,https://www.avantlink.com/click.php?tt=el&merchant_id=d7174e20-4bca-49c0-ba1a-c9386e4844a0&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fhelinox.com%2Fproducts%2Fseat-warmer-chair-one%3Fvariant%3D46163166331054&ctc=honeyhole,https://helinox.com/products/seat-warmer-chair-one?variant=46163166331054,https://helinox.com/cdn/shop/products/Seat-Warmer-for-Chair-One_Scarlet-Iron_Angle-Front_200601R1F.jpg?v=1738153945&width=800,outdoor-gear,1/29/2025,,,Jet gatewood,Affiliate Email,Active,Live,Ignore,Posted,https://alnk.to/e78nggk,
50% OFF E-Muff Hearing Protection (was $40 now $20),E-Muff Hearing Protection,50% OFF E-Muff Hearing Protection (was $40 now $20),40,20,5,https://cabelas.xhuc.net/QjNN36,https://www.cabelas.com/shop/en/rangemaxx-maxx-premium-e-muff-hearing-protection,"https://assets.basspro.com/image/upload/b_rgb:FFFFFF,c_limit,dpr_1.0,f_auto,h_1348,q_auto,w_2600/c_limit,h_1348,w_2600/v1/ProductImages/450/master1_100832248_main?pgw=1",hunting-gear,1/29/2025,,,Jet gatewood,Manual,Active,Live,Maybe Later,Posted,,
Save $200 On BlackOut Epic Compound Bow Package (was $600 now $400),BlackOut Epic Compound Bow Package,Save $200 On BlackOut Epic Compound Bow Package (was $600 now $400),600,400,3,https://cabelas.xhuc.net/kOaaGV,https://www.cabelas.com/shop/en/blackout-epic-compound-bow-package,"https://assets.basspro.com/image/upload/b_rgb:FFFFFF,c_limit,dpr_1.0,f_auto,h_1348,q_auto,w_2600/c_limit,h_1348,w_2600/v1/ProductImages/400/ttstrata_100790136_main?pgw=1",hunting-gear,1/29/2025,,,Jet gatewood,Manual,Active,Live,Maybe Later,Posted,cabelas.xhuc.net/LKZqP0,
"67% OFF Scent Crusher Mobile Shower—weird, but might have to try it! (was $100 now $50)",,,,,4,https://cabelas.xhuc.net/55MMP3,https://www.cabelas.com/shop/en/scent-crusher-mobile-shower,,Manual,1/29/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
30% OFF SITKA Patriot Mid-Pro Trucker Cap (was $30 now $21),SITKA Patriot Mid-Pro Trucker Cap,30% OFF SITKA Patriot Mid-Pro Trucker Cap (was $30 now $21),30,21,3,https://cabelas.xhuc.net/aOxxQo,https://www.cabelas.com/shop/en/sitka-patriot-mid-pro-trucker-cap,"https://assets.basspro.com/image/upload/b_rgb:FFFFFF,c_limit,dpr_1.0,f_auto,h_1348,q_auto,w_2600/c_limit,h_1348,w_2600/v1/ProductImages/475/eclipsered_101500158_main?pgw=1",outdoor-gear,1/29/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,https://cabelas.xhuc.net/yqm3RG,
40% OFF Archery Target (was $20 now $12),Archery Target,40% OFF Archery Target (was $20 now $12),20,12,3,https://cabelas.xhuc.net/Z6xx3g,https://www.cabelas.com/shop/en/morrell-ibo-nasp-whitetail-deer-polypropylene-archery-target-face,"https://assets.basspro.com/image/upload/b_rgb:FFFFFF,c_limit,dpr_1.0,f_auto,h_1348,q_auto,w_2600/c_limit,h_1348,w_2600/v1/ProductImages/400/master1_101486531_main?pgw=1",hunting-gear,1/29/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,,
36% OFF Custom Pro Speed Spool SLP Baitcast Reel,,,,,3,,https://www.cabelas.com/shop/en/team-lews-custom-pro-speed-spool-slp-baitcast-reel,,Manual,1/29/2025,,,Jet gatewood,Manual,Duplicate,Ignore,Ignore,Ignore,,
37% OFF 24-inch Stansport Utility Steel Bow Saw (was $19 now $12),24-inch Stansport Utility Steel Bow Saw,37% OFF 24-inch Stansport Utility Steel Bow Saw (was $19 now $12),19,12,3,https://www.avantlink.com/click.php?tt=el&merchant_id=83c7c186-fb5f-42ca-a1a4-8e6e1a99ac2e&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.sportsmans.com%2Fcamping-gear-supplies%2Fsafety-survival%2Faxes-saws-shovels-shears%2Fsaws%2Fstnsprt-bow-saw-24in%2Fp%2Fp1054&ctc=honeyhole,https://www.sportsmans.com/camping-gear-supplies/safety-survival/axes-saws-shovels-shears/saws/stnsprt-bow-saw-24in/p/p1054,https://www.sportsmans.com/medias/stansport-bow-saws-p1054-1.jpg?context=bWFzdGVyfGltYWdlc3w3MzQ2NXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMk1DOW9aR1l2T0RnNE1qQXlORFF4TlRJMk1pNXFjR2N8ZDdjMTllOWYxN2UyN2MyOWVmYTk4ZWZmNmJlZGIxNjUxOTYwMmMzNzMwMzMxOTkyYzViY2UyMDA3YzQ5ODE1MA,camping-gear,1/29/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,https://alnk.to/28SW3ek,
60% OFF Favorite Fishing Defender 2000 Spinning Reel (was $50 now $20),Favorite Fishing Defender 2000 Spinning Reel,60% OFF Favorite Fishing Defender 2000 Spinning Reel (was $50 now $20),50,20,3,https://www.avantlink.com/click.php?tt=el&merchant_id=83c7c186-fb5f-42ca-a1a4-8e6e1a99ac2e&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.sportsmans.com%2Ffishing-gear-supplies%2Fspinning-reels%2Ffavorite-fishing-defender-spinning-reel%2Fp%2F1714400&ctc=honeyhole,https://www.sportsmans.com/fishing-gear-supplies/spinning-reels/favorite-fishing-defender-spinning-reel/p/1714400,https://www.sportsmans.com/medias/favorite-fishing-defender-2000-spinning-reel-bluered-1714400-1.jpg?context=bWFzdGVyfGltYWdlc3w3Njk4MXxpbWFnZS9qcGVnfGFHUmhMMmczTlM4eE1EUXpNakV3TVRReE5qazVNQzh4TnpFME5EQXdMVEZmWW1GelpTMWpiMjUyWlhKemFXOXVSbTl5YldGMFh6RXlNREF0WTI5dWRtVnljMmx2YmtadmNtMWhkQXwzODUzMWNmOWNjYzUwODVjMmFjY2UwYjE1NDc2ZTJmMjFmOThlZTlkYTY5M2QyMzQzN2Q3Njc0N2JlZmIxYTFk,fishing-gear,1/29/2025,,,Jet gatewood,Manual,Active,Live,Sent,Posted,https://alnk.to/aAPj8os,
86% OFF Lost Creek 3-1/2in Salt Tube Bait,,,,,,https://www.avantlink.com/click.php?tt=el&merchant_id=83c7c186-fb5f-42ca-a1a4-8e6e1a99ac2e&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.sportsmans.com%2Ffishing-gear-supplies%2Fsoft-baits%2Flost-creek-3-12in-salt-tube-bait%2Fp%2Fp30981&ctc=honeyhole,https://www.sportsmans.com/fishing-gear-supplies/soft-baits/lost-creek-3-12in-salt-tube-bait/p/p30981,,Manual,1/29/2025,,,Jet gatewood,Manual,Dead,Ignore,Ignore,Ignore,,Out of stock and in store only
60% OFF Cordless Snow Shovel (was $250 now $100),,,,,3,https://goto.walmart.com/c/2666693/565706/9383?subId1=honeyhole&veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FVOLTASK-24V-13-Inch-Cordless-Snow-Shovel-with-Directional-Plate-Battery-Quick-Charger-Included%2F13179212244&partnerpropertyid=2457117&MediaPartnerPropertyId=2457117,https://www.walmart.com/ip/VOLTASK-24V-13-Inch-Cordless-Snow-Shovel-with-Directional-Plate-Battery-Quick-Charger-Included/13179212244?classType=REGULAR&athbdg=L1600&from=/search,,Manual,1/29/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
30% OFF Ozark Trail Men's Puffer Jacket (was $28 now $19),,,,,3,https://goto.walmart.com/c/2666693/565706/9383?subId1=honeyhole&veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FOzark-Trail-Men-s-Puffer-Jacket-Sizes-S-3XL%2F5414719390&partnerpropertyid=2457117&MediaPartnerPropertyId=2457117,https://www.walmart.com/ip/Ozark-Trail-Men-s-Puffer-Jacket-Sizes-S-3XL/5414719390?classType=VARIANT&athbdg=L1103&from=/search,,Manual,1/29/2025,,,Jet gatewood,Manual,Active,Removed,Ignore,Ignore,,only 1 size left 
40% OFF Smith Sunglasses,,,,,,,https://www.smithoptics.com/c/sale/f/sunglass/,,Manual,1/29/2025,,,Jet gatewood,Manual,Duplicate,Ignore,Ignore,Ignore,,
40% OFF Woolverino Half Neck Gaiter—Ultralight & breathable! (was $25 now $15),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=c259e5f0-7344-4972-9b81-c140a02b03c7&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.minus33.com%2Fcollections%2Fclearance%2Fproducts%2Fwoolverino-wool-neck-gaiter-micro-weight&ctc=honeyhole,https://www.minus33.com/collections/clearance/products/woolverino-wool-neck-gaiter-micro-weight,,Manual,1/30/2025,,,Jet gatewood,Manual,Active,Removed,Maybe Later,Posted,https://alnk.to/9bv9NNt,old and going out of season 
"39% OFF Mountain Heritage Full-Length Socks—Light cushion, over-the-calf fit! (was $21 now $13)",,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=c259e5f0-7344-4972-9b81-c140a02b03c7&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.minus33.com%2Fcollections%2Fclearance%2Fproducts%2Fmountain-heritage-micro-weight-light-cushion-full-length&ctc=honeyhole,https://www.minus33.com/collections/clearance/products/mountain-heritage-micro-weight-light-cushion-full-length,,Manual,1/30/2025,,,Jet gatewood,Manual,Active,Ignore,Ignore,Ignore,,Sold out
60% OFF Hodgman Brighton Neoprene Waders—Perfect for cold water! (was $210 now $74),Hodgman Brighton Neoprene Waders,60% OFF Hodgman Brighton Neoprene Waders—Perfect for cold water! (was $210 now $74),210,74,3,https://www.avantlink.com/click.php?tt=el&merchant_id=264d18ce-a020-492c-8b2c-ef11fceeab5d&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.purefishing.com%2Fbrighton-neoprene-cleated-max5-1450976&ctc=honeyhole,https://www.purefishing.com/brighton-neoprene-cleated-max5-1450976,https://media.purefishing.com/i/purefishing/Hodgman_Brighton_NeopreneCleatedMax5_RealtreeMax5_2018_alt1?w=1000&h=1000&fmt=auto,fishing-gear,1/30/2025,,,Jet gatewood,Manual,Active,Live,Maybe Later,Posted,https://alnk.to/eONpbsw,
60% OFF Hodgman Mackenzie Cleat Chest Bootfoot Waders—Great budget waders! (was $95 now $34),Hodgman Mackenzie Cleat Chest Bootfoot Waders,60% OFF Hodgman Mackenzie Cleat Chest Bootfoot Waders—Great budget waders! (was $95 now $34),95,34,4,https://www.avantlink.com/click.php?tt=el&merchant_id=264d18ce-a020-492c-8b2c-ef11fceeab5d&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.purefishing.com%2Fmackenzie-cleat-chest-bootfoot-1347873&ctc=honeyhole,https://www.purefishing.com/mackenzie-cleat-chest-bootfoot-1347873,https://media.purefishing.com/i/purefishing/MACKENZIE_CST_FRONT?w=1000&h=1000&fmt=auto,fishing-gear,1/30/2025,,,Jet gatewood,Manual,Active,Live,Maybe Later,Posted,https://alnk.to/8EKXdob,
"50% OFF Ugly Stik GX2 Spinning Combo—Reliable, durable rod and reel setup! (was $60 now $30)",Ugly Stik GX2 Spinning Combo,"50% OFF Ugly Stik GX2 Spinning Combo—Reliable, durable rod and reel setup! (was $60 now $30)",60,30,4,https://www.avantlink.com/click.php?tt=el&merchant_id=264d18ce-a020-492c-8b2c-ef11fceeab5d&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.purefishing.com%2Fgx2-spinning-ladies-combo-1314553&ctc=honeyhole,https://www.purefishing.com/gx2-spinning-ladies-combo-1314553,https://media.purefishing.com/i/purefishing/US_GX2_Spin_Ladies_Combo_alt3?w=1000&h=1000&fmt=auto,fishing-gear,1/30/2025,,,Jet gatewood,Manual,Active,Live,Sent,Posted,,
50% OFF Tower Patio Heater—Stay warm outdoors! (was $700 now $350),,,,,5,https://solostove.pxf.io/GK0ZkB,https://www.solostove.com/en-us/p/tower-patio-heater?sku=SSTOWER,,Manual,1/30/2025,,,Jet gatewood,Manual,Dead,Removed,Ignore,Ignore,,
"40% OFF TerraFlame 4-Piece Furniture Set by Solo Stove—Great outdoor seating! (was $2,500, now $1,750)",TerraFlame 4-Piece Furniture Set by Solo Stove,"40% OFF TerraFlame 4-Piece Furniture Set by Solo Stove—Great outdoor seating! (was $2,500, now $1,750)",2500,1750,4,https://solostove.pxf.io/gOAW70,https://www.solostove.com/en-us/p/terraflame-4-piece-seating-set-by-solo-stove?sku=SS1903-4PC-GRY-DNM-K,"https://content.solostove.com/image/upload/c_fill,h_405,w_405/f_auto/dpr_auto/q_auto/jqwbeaqseibcvefraosp",outdoor-gear,1/30/2025,,,Jet gatewood,Manual,Active,Live,Ignore,Posted,,
63% OFF Max Z Spinning Reel—Affordable and smooth! (was $60 now $22),Max Z Spinning Reel,63% OFF Max Z Spinning Reel—Affordable and smooth! (was $60 now $22),60,22,5,https://www.avantlink.com/click.php?tt=el&merchant_id=19cec81b-9bc1-42f3-abb8-be3dab846192&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.abugarcia.com%2Fproducts%2Fmax-z-spinning-reel%3F_pos%3D1%26_psq%3DMax%2BZ%2BSpinning%2BReel%26_ss%3De%26_v%3D1.0&ctc=honeyhole,https://www.abugarcia.com/products/max-z-spinning-reel?_pos=1&_psq=Max+Z+Spinning+Reel&_ss=e&_v=1.0,https://www.abugarcia.com/cdn/shop/files/Abu_Garcia_Max_Z_30_Spinning_Reel_2020_alt1.jpg?v=1710348756&width=1920,fishing-gear,1/30/2025,,,Jet gatewood,Manual,Active,Live,Sent,Posted,,
44% OFF MaxToro DLC Reel—Big savings on a powerful reel! (was $180 now $100),MaxToro DLC Reel,44% OFF MaxToro DLC Reel—Big savings on a powerful reel! (was $180 now $100),180,100,5,https://www.avantlink.com/click.php?tt=el&merchant_id=19cec81b-9bc1-42f3-abb8-be3dab846192&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.abugarcia.com%2Fproducts%2Fmax-toro-dlc-baitcast-reel%3F_pos%3D1%26_sid%3D4b000b57e%26_ss%3Dr&ctc=honeyhole,https://www.abugarcia.com/products/max-toro-dlc-baitcast-reel?_pos=1&_sid=4b000b57e&_ss=r,https://www.abugarcia.com/cdn/shop/files/Abu_Garcia_MaxToro_DLC_2020_alt2.jpg?v=1710359244&width=1920,fishing-gear,1/30/2025,,,Jet gatewood,Manual,Active,Live,Maybe Later,Posted,https://alnk.to/dptt1Ha,
50% OFF Max X Spinning Combo with Bait Pack—Great all-in-one deal! (was $70 now $35),Max X Spinning Combo with Bait Pack,50% OFF Max X Spinning Combo with Bait Pack—Great all-in-one deal! (was $70 now $35),70,35,4,https://www.avantlink.com/click.php?tt=el&merchant_id=19cec81b-9bc1-42f3-abb8-be3dab846192&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.abugarcia.com%2Fproducts%2Fmax-x-spinning-combo-with-baitpack%3F_pos%3D1%26_sid%3Dfcccf7ff3%26_ss%3Dr&ctc=honeyhole,https://www.abugarcia.com/products/max-x-spinning-combo-with-baitpack?_pos=1&_sid=fcccf7ff3&_ss=r,https://www.abugarcia.com/cdn/shop/files/AbuGarcia_MaxX21HolidaySMU_SP_Combo_alt6.jpg?v=1710338301&width=1920,fishing-gear,1/30/2025,,,Jet gatewood,Manual,Active,Live,Maybe Later,Posted,https://alnk.to/hhC8BEl,
